nodes,0_time_exhaustive,0_iter_exhaustive,0_num_elementos_exhaustive,0_number_of_solutions,0.125_time_exhaustive,0.125_iter_exhaustive,0.125_num_elementos_exhaustive,0.125_number_of_solutions,0.25_time_exhaustive,0.25_iter_exhaustive,0.25_num_elementos_exhaustive,0.25_number_of_solutions,0.5_time_exhaustive,0.5_iter_exhaustive,0.5_num_elementos_exhaustive,0.5_number_of_solutions,0.75_time_exhaustive,0.75_iter_exhaustive,0.75_num_elementos_exhaustive,0.75_number_of_solutions,1_time_exhaustive,1_iter_exhaustive,1_num_elementos_exhaustive,1_number_of_solutions
4,5.200000001082117e-05,24,4,1,3.5900000000310683e-05,24,3,2,3.359999999474894e-05,24,3,1,3.519999999923584e-05,24,2,2,3.5699999997973464e-05,24,2,1,4.959999999698539e-05,24,1,4
5,6.720000000370874e-05,80,5,1,6.069999999169795e-05,80,4,1,6.179999999744723e-05,80,3,2,6.530000000282143e-05,80,2,4,8.620000001258177e-05,80,2,1,7.270000000403343e-05,80,1,5
6,0.00013090000000204327,240,6,1,0.0001311000000043805,240,4,3,0.00014810000000409218,240,4,2,0.00014840000000049258,240,3,1,0.00015009999999904267,240,2,1,0.00015029999998716903,240,1,6
7,0.0003104000000035967,672,7,1,0.00030590000000074724,672,4,6,0.0003289999999935844,672,4,4,0.00034200000000339514,672,3,1,0.0003413000000023203,672,2,5,0.000350100000005682,672,1,7
8,0.0007473999999945136,1792,8,1,0.0007419000000083997,1792,5,6,0.0007671000000044614,1792,4,5,0.0007872999999989361,1792,4,1,0.000820099999998547,1792,2,5,0.0008217000000030339,1792,1,8
9,0.0017754999999937127,4608,9,1,0.0017990999999994983,4608,6,1,0.0018775000000061937,4608,4,7,0.001973800000001802,4608,4,1,0.001987100000008013,4608,2,8,0.002068300000004797,4608,1,9
10,0.004160499999997569,11520,10,1,0.0042981999999938125,11520,6,5,0.004496699999990028,11520,5,3,0.004716999999999416,11520,4,1,0.0049154000000015685,11520,3,2,0.0050255000000021255,11520,1,10
11,0.009457599999990407,28160,11,1,0.010354500000005373,28160,6,8,0.010796999999996615,28160,5,11,0.011220899999997869,28160,4,3,0.011869799999999486,28160,3,2,0.012076399999997989,28160,1,11
12,0.02191299999999785,67584,12,1,0.024460899999994012,67584,6,12,0.025331100000002493,67584,6,5,0.026138599999995904,67584,5,1,0.02745050000000049,67584,3,2,0.028243500000002086,67584,1,12
13,0.05054250000000593,159744,13,1,0.05629909999998972,159744,7,8,0.05752160000000117,159744,7,1,0.06215079999999773,159744,5,1,0.06493949999999415,159744,3,3,0.06652340000000834,159744,1,13
14,0.11536809999999775,372736,14,1,0.12685690000000704,372736,8,8,0.1326950999999923,372736,7,5,0.1427836999999954,372736,5,1,0.15183009999999797,372736,3,4,0.15831380000000195,372736,1,14
15,0.26205979999998874,860160,15,1,0.2989386999999937,860160,8,20,0.3085126999999943,860160,7,9,0.3324245000000019,860160,5,2,0.3564149000000043,860160,3,4,0.36610260000000494,860160,1,15
16,0.5927580000000034,1966080,16,1,0.6573908999999958,1966080,9,12,0.6848980999999981,1966080,8,4,0.7457799000000023,1966080,5,2,0.8045495000000074,1966080,3,4,0.8382727000000045,1966080,1,16
17,1.3243696999999912,4456448,17,1,1.503521500000005,4456448,9,13,1.5575197000000003,4456448,9,4,1.7252097999999876,4456448,5,2,1.8353896000000134,4456448,3,4,1.9042427999999916,4456448,1,17
18,2.890077700000006,10027008,18,1,3.292348099999998,10027008,9,16,3.469945200000012,10027008,9,4,3.8631678000000136,10027008,5,2,4.196503499999977,10027008,3,4,4.3371257999999955,10027008,1,18
19,6.350730999999996,22413312,19,1,7.291702299999997,22413312,10,3,7.740154399999994,22413312,9,4,8.636529699999983,22413312,5,2,9.408310099999994,22413312,3,5,9.7175431,22413312,1,19
20,14.002244100000013,49807360,20,1,15.987088400000005,49807360,10,18,17.26672719999999,49807360,9,4,19.35472569999999,49807360,5,2,21.034177599999964,49807360,3,5,21.811893499999996,49807360,1,20
21,30.67632950000001,110100480,21,1,35.19595760000004,110100480,10,35,38.403786600000046,110100480,9,7,43.14544769999998,110100480,5,2,46.9070782,110100480,3,6,48.77286449999997,110100480,1,21
22,66.57457509999995,242221056,22,1,76.70789909999996,242221056,11,1,83.88903000000005,242221056,9,7,94.92330890000005,242221056,5,2,103.39437380000004,242221056,4,2,107.92772810000008,242221056,1,22
23,143.5986617000001,530579456,23,1,166.4005297000001,530579456,12,1,183.8553068000001,530579456,9,7,207.2150084,530579456,5,2,225.5839836,530579456,4,2,235.16179479999983,530579456,1,23
24,309.52019729999984,1157627904,24,1,361.7864980999998,1157627904,13,1,400.3546905000003,1157627904,9,19,458.41137789999993,1157627904,5,6,497.1561815,1157627904,4,2,518.4840431000002,1157627904,1,24
