nodes,0.0_time_generate,0.0_iter_generate,0.0_num_elementos_generate,0.0_confs_tested_generate,0.0_tries_generate,0.0_time_generate_limit,0.0_iter_generate_limit,0.0_num_elementos_generate_limit,0.0_confs_tested_generate_limit,0.0_tries_generate_limit,0.0_time_generate_2k,0.0_iter_generate_2k,0.0_num_elementos_generate_2k,0.0_confs_tested_generate_2k,0.0_tries_generate_2k,0.0_time_generate_2n,0.0_iter_generate_2n,0.0_num_elementos_generate_2n,0.0_confs_tested_generate_2n,0.0_tries_generate_2n,0.0_time_greedy,0.0_iter_greedy,0.0_num_elementos_greedy,0.0_confs_tested_greedy,0.0_tries_greedy,0.125_time_generate,0.125_iter_generate,0.125_num_elementos_generate,0.125_confs_tested_generate,0.125_tries_generate,0.125_time_generate_limit,0.125_iter_generate_limit,0.125_num_elementos_generate_limit,0.125_confs_tested_generate_limit,0.125_tries_generate_limit,0.125_time_generate_2k,0.125_iter_generate_2k,0.125_num_elementos_generate_2k,0.125_confs_tested_generate_2k,0.125_tries_generate_2k,0.125_time_generate_2n,0.125_iter_generate_2n,0.125_num_elementos_generate_2n,0.125_confs_tested_generate_2n,0.125_tries_generate_2n,0.125_time_greedy,0.125_iter_greedy,0.125_num_elementos_greedy,0.125_confs_tested_greedy,0.125_tries_greedy,0.25_time_generate,0.25_iter_generate,0.25_num_elementos_generate,0.25_confs_tested_generate,0.25_tries_generate,0.25_time_generate_limit,0.25_iter_generate_limit,0.25_num_elementos_generate_limit,0.25_confs_tested_generate_limit,0.25_tries_generate_limit,0.25_time_generate_2k,0.25_iter_generate_2k,0.25_num_elementos_generate_2k,0.25_confs_tested_generate_2k,0.25_tries_generate_2k,0.25_time_generate_2n,0.25_iter_generate_2n,0.25_num_elementos_generate_2n,0.25_confs_tested_generate_2n,0.25_tries_generate_2n,0.25_time_greedy,0.25_iter_greedy,0.25_num_elementos_greedy,0.25_confs_tested_greedy,0.25_tries_greedy,0.5_time_generate,0.5_iter_generate,0.5_num_elementos_generate,0.5_confs_tested_generate,0.5_tries_generate,0.5_time_generate_limit,0.5_iter_generate_limit,0.5_num_elementos_generate_limit,0.5_confs_tested_generate_limit,0.5_tries_generate_limit,0.5_time_generate_2k,0.5_iter_generate_2k,0.5_num_elementos_generate_2k,0.5_confs_tested_generate_2k,0.5_tries_generate_2k,0.5_time_generate_2n,0.5_iter_generate_2n,0.5_num_elementos_generate_2n,0.5_confs_tested_generate_2n,0.5_tries_generate_2n,0.5_time_greedy,0.5_iter_greedy,0.5_num_elementos_greedy,0.5_confs_tested_greedy,0.5_tries_greedy,0.75_time_generate,0.75_iter_generate,0.75_num_elementos_generate,0.75_confs_tested_generate,0.75_tries_generate,0.75_time_generate_limit,0.75_iter_generate_limit,0.75_num_elementos_generate_limit,0.75_confs_tested_generate_limit,0.75_tries_generate_limit,0.75_time_generate_2k,0.75_iter_generate_2k,0.75_num_elementos_generate_2k,0.75_confs_tested_generate_2k,0.75_tries_generate_2k,0.75_time_generate_2n,0.75_iter_generate_2n,0.75_num_elementos_generate_2n,0.75_confs_tested_generate_2n,0.75_tries_generate_2n,0.75_time_greedy,0.75_iter_greedy,0.75_num_elementos_greedy,0.75_confs_tested_greedy,0.75_tries_greedy,1.0_time_generate,1.0_iter_generate,1.0_num_elementos_generate,1.0_confs_tested_generate,1.0_tries_generate,1.0_time_generate_limit,1.0_iter_generate_limit,1.0_num_elementos_generate_limit,1.0_confs_tested_generate_limit,1.0_tries_generate_limit,1.0_time_generate_2k,1.0_iter_generate_2k,1.0_num_elementos_generate_2k,1.0_confs_tested_generate_2k,1.0_tries_generate_2k,1.0_time_generate_2n,1.0_iter_generate_2n,1.0_num_elementos_generate_2n,1.0_confs_tested_generate_2n,1.0_tries_generate_2n,1.0_time_greedy,1.0_iter_greedy,1.0_num_elementos_greedy,1.0_confs_tested_greedy,1.0_tries_greedy
4,5.18000015290454e-05,6,4,1,1,2.1699999706470408e-05,6,4,1,4,1.7800000932766125e-05,1,2,1,2,2.0700001186924055e-05,6,4,1,8,3.000111099998321,0,4,1,214395,3.6499999623629265e-05,7,3,2,2,3.0199998946045525e-05,9,3,2,12,1.9400000383029692e-05,1,2,1,2,2.769999991869554e-05,6,2,3,12,3.0000224000013986,198683,3,2,198683,4.179999996267725e-05,6,1,4,4,2.7599999157246202e-05,6,3,2,9,2.28000008064555e-05,1,1,2,4,2.9299999368959107e-05,6,2,3,12,3.0000199000005523,242294,3,2,181825,4.059999992023222e-05,4,2,3,3,5.79999996261904e-05,8,2,8,33,2.6300000172341242e-05,1,1,2,3,3.420000030018855e-05,5,1,4,13,3.000030600000173,370010,2,3,164470,4.620000072463881e-05,4,1,4,4,4.7700001232442446e-05,7,2,6,23,2.6699999580159783e-05,1,1,2,3,3.199999991920777e-05,4,2,3,12,3.0000297999995382,389548,2,3,155819,5.070000042906031e-05,3,1,4,4,8.650000017951243e-05,11,1,12,59,2.9999999242136255e-05,1,1,2,4,4.430000080901664e-05,3,1,4,23,3.000019400000383,456858,1,4,152286
5,4.7199999244185165e-05,10,5,1,1,3.319999996165279e-05,10,5,1,10,2.3800001144991256e-05,3,3,1,3,3.370000013092067e-05,10,5,1,14,3.000014100000044,0,5,1,178265,6.660000144620426e-05,7,3,3,3,4.5700000555370934e-05,8,4,2,12,3.749999996216502e-05,2,2,2,6,6.519999988086056e-05,12,2,4,29,3.0000242999994953,208149,4,2,155956,6.140000004961621e-05,6,1,7,7,9.440000030735973e-05,18,3,8,77,2.719999974942766e-05,3,3,1,4,3.80000001314329e-05,7,2,4,17,3.0000212999984797,323898,3,3,143958,6.060000123397913e-05,9,2,6,6,0.0002306000005773967,28,2,21,225,3.3099999200203456e-05,3,2,2,7,4.450000051292591e-05,4,1,5,24,3.0000188999983948,401661,2,4,133887,6.550000034621917e-05,7,1,7,7,0.0003020999993168516,25,2,22,308,4.1599998439778574e-05,4,1,4,8,5.340000097930897e-05,4,1,5,29,3.0000421999993705,421218,2,4,117065,6.599999869649764e-05,6,1,7,7,0.00026700000125856604,26,1,27,265,4.42000000475673e-05,3,1,4,10,5.199999941396527e-05,4,1,5,26,3.0000405999999202,462728,1,5,115682
6,5.109999983687885e-05,15,6,1,1,3.640000068116933e-05,15,6,1,10,2.680000034160912e-05,3,3,1,4,4.059999992023222e-05,15,6,1,19,3.000033899999835,0,6,1,154540,6.130000110715628e-05,21,4,4,4,0.0001520000005257316,32,4,8,157,3.06999991153134e-05,4,3,2,7,5.5900000006658956e-05,16,4,3,42,3.0000244000002567,268494,4,3,134247,7.229999937408138e-05,21,3,6,6,0.00012090000018361025,42,4,9,105,4.1599998439778574e-05,6,2,4,15,4.9700000090524554e-05,19,4,3,24,3.0000178000009328,284042,4,3,126412,0.00011220000124012586,13,2,9,10,0.0003763999993680045,37,3,24,404,5.289999899105169e-05,5,1,6,18,5.8600000556907617e-05,6,1,6,33,3.000036399998862,370439,3,4,104140,9.610000051907264e-05,11,1,12,12,0.0004527000000962289,53,2,52,456,5.859999873791821e-05,5,1,6,18,6.420000136131421e-05,5,1,6,31,3.0000365000014426,416068,2,5,89119,0.00010440000005473848,11,1,12,13,0.000768699999753153,57,1,58,841,5.899999996472616e-05,5,1,6,15,6.620000021939632e-05,5,1,6,32,3.0000559000000067,439585,1,6,87917
7,6.000000030326191e-05,21,7,1,1,4.389999958220869e-05,21,7,1,15,2.9799999538226984e-05,6,4,1,4,7.159999950090423e-05,21,7,1,17,3.0000390999994124,0,7,1,137376,0.00012150000111432746,48,4,11,11,0.0006953000010980759,130,4,32,817,5.4799998906673864e-05,17,3,6,25,7.089999962772708e-05,19,3,5,57,3.000036999999793,359400,4,6,119800,0.0001274999995075632,55,3,14,14,0.0009826000004977686,145,4,38,1190,5.6599999879836105e-05,8,3,4,23,6.500000017695129e-05,10,4,4,44,3.000030199998946,321630,4,4,107210,0.00016489999870827887,27,1,24,24,0.0012210000004415633,98,3,66,1459,7.310000000870787e-05,12,2,9,31,8.070000149018597e-05,7,1,7,55,3.000052200000937,376872,3,5,81138,0.0001654999996389961,28,2,20,21,0.0018171000010624994,129,2,100,2189,8.019999950192869e-05,11,2,8,36,7.350000123551581e-05,6,1,7,38,3.0000396000014007,399870,2,6,77775,0.00019219999921915587,23,1,24,31,0.0019219000005250564,120,1,121,2289,8.909999996831175e-05,11,1,12,36,8.580000030633528e-05,6,1,7,48,3.00008440000056,414426,1,7,69071
8,6.480000047304202e-05,28,8,1,1,4.7900000936351717e-05,28,8,1,16,3.569999898900278e-05,10,5,1,7,4.199999966658652e-05,28,8,1,13,3.000017000000298,0,8,1,121826,0.0002210000002378365,96,4,18,19,0.00200330000006943,307,5,55,2374,5.469999996421393e-05,16,4,4,24,8.090000119409524e-05,37,5,4,58,3.000023799999326,324357,5,6,108119,0.0002531000009184936,68,4,28,32,0.0020797999986825744,293,4,94,2400,7.689999983995222e-05,21,3,8,37,8.689999958733097e-05,16,1,8,59,3.0000552000001335,363648,4,6,89026,0.00028159999965282623,57,3,30,32,0.0028161999998701504,290,4,154,3254,8.469999920635018e-05,13,3,8,40,8.689999958733097e-05,11,2,7,52,3.000042300000132,351748,4,5,73646,0.0003250999998272164,49,1,43,47,0.004491599998800666,272,2,222,5247,0.00013620000027003698,21,2,19,72,9.959999988495838e-05,10,1,8,54,3.000093200000265,379542,2,7,60692,0.0003283000005467329,42,1,43,47,0.0045405000000755535,247,1,248,5352,0.00013839999883202836,19,1,20,70,0.00010730000030889641,7,1,8,58,3.0000528000000486,386505,1,8,55215
9,7.93999988673022e-05,36,9,1,1,5.9899999541812576e-05,36,9,1,23,4.090000038559083e-05,15,6,1,10,5.290000081004109e-05,36,9,1,20,3.0000235000006796,0,9,1,110055,0.0003735999998752959,125,5,33,35,0.0017483999999967637,334,6,66,2107,9.370000043418258e-05,33,4,9,52,0.00010090000068885274,21,2,8,84,3.000031300000046,336397,6,7,91511,0.00045959999988554046,136,4,53,56,0.009336400000393041,740,4,269,11298,0.00014069999997445848,39,3,20,90,0.00010149999980058055,11,3,7,73,3.000046099999963,369785,4,7,73957,0.0005287000003590947,133,3,65,67,0.010336200000892859,511,4,292,13276,0.00013670000043930486,30,3,17,87,0.00011889999950653873,13,2,8,90,3.0000620000009803,374004,4,8,63544,0.0005596999999397667,96,1,80,84,0.01329740000073798,599,2,472,16235,0.00020029999905091245,36,1,31,124,0.00014270000065153,14,1,9,99,3.0000708999996277,366047,2,9,51476,0.0005862999987584772,79,1,80,84,0.011915400000361842,502,1,503,14344,0.00020059999951627105,30,1,31,122,0.00013359999866224825,8,1,9,76,3.000101600000562,357976,1,9,44747
10,7.660000119358301e-05,45,10,1,1,8.420000085607171e-05,45,10,1,48,4.360000093583949e-05,15,6,1,10,6.590000157302711e-05,45,10,1,31,3.0000216999997065,0,10,1,100594,0.0006365999997797189,343,6,56,60,0.009971600000426406,1086,6,202,12401,0.00010740000107034575,40,5,9,69,0.00010610000026645139,25,5,6,87,3.000051299999541,350634,6,9,82565,0.0008331000008183764,289,5,89,93,0.019557600000553066,1456,5,457,24414,8.600000001024455e-05,25,5,4,32,0.0001274999995075632,18,1,10,104,3.000064800000473,371299,5,10,67193,0.0008606999999756226,182,4,99,106,0.025761799999600044,1296,4,684,31984,0.00024950000079115853,60,2,39,186,0.00013339999895833898,15,2,9,91,3.0000839000003907,364508,4,10,53740,0.001115600000048289,209,2,149,166,0.02607220000027155,1229,3,857,32464,0.00027579999914451037,49,2,43,202,0.00013930000022810418,12,1,10,87,3.000088599999799,353141,3,10,45775,0.001082200000382727,155,1,156,167,0.02843849999953818,1013,1,1014,35818,0.0002930999999080086,49,1,50,206,0.0001508999994257465,9,1,10,84,3.0001570000003994,337725,1,10,37525
11,7.779999941703863e-05,55,11,1,1,6.330000178422779e-05,55,11,1,16,4.929999886371661e-05,21,7,1,12,6.140000004961621e-05,55,11,1,17,3.0000381999998353,0,11,1,90196,0.0018167999987781513,951,5,173,187,0.030934099999285536,2865,6,570,40092,0.0002055000004475005,95,5,22,148,0.00012550000064948108,39,3,9,96,3.0000328999994963,386849,6,15,73315,0.0017757999994501006,606,5,178,195,0.05337929999950575,3686,5,1036,66341,0.0002675000014278339,111,4,32,192,0.00015890000031504314,44,1,11,126,3.0000855999987834,361650,5,11,60275,0.002135900000212132,524,4,267,281,0.0636142999992444,2898,4,1533,82419,0.0004149000014876947,124,2,66,341,0.00016529999993508682,15,2,10,115,3.000104900000224,358349,4,11,47403,0.002240699999674689,421,2,308,328,0.07607250000000931,2734,3,1960,96700,0.00044020000132150017,86,2,66,380,0.0001666999996814411,10,1,11,112,3.000099799999589,338773,3,12,38724,0.002259500000945991,311,1,312,336,0.07731599999897298,2036,1,2037,99416,0.00045700000009674113,76,1,77,370,0.00018649999947228935,10,1,11,113,3.0001622999989195,317700,1,11,31770
12,8.170000000973232e-05,66,12,1,1,8.880000132194255e-05,66,12,1,41,5.9899999541812576e-05,28,8,1,21,7.010000081209e-05,66,12,1,23,3.0000369000008504,0,12,1,83556,0.003054599999813945,1357,6,282,300,0.10992269999951532,7473,6,1604,140029,0.0003496999997878447,146,5,41,295,0.00016180000056920107,46,3,10,121,3.0000443999997515,385339,6,18,62265,0.004005799999504234,1662,5,421,449,0.09636119999959192,7655,6,1896,122162,0.0004358000005595386,231,4,55,364,0.0001537000007374445,48,2,11,120,3.0000521000001754,363699,6,14,56570,0.004386299999168841,1104,4,509,549,0.12876240000150574,6171,5,2858,164035,0.0005055000001448207,162,4,68,435,0.00018169999930250924,23,2,11,137,3.0001028000006045,354639,5,14,44003,0.004676599999584141,801,2,607,654,0.17725869999958377,5113,3,3879,232277,0.0006362000003719004,142,2,104,563,0.00022429999989981297,12,1,12,171,3.000171699999555,318785,3,13,32628,0.0048206999999820255,616,1,617,680,0.16822700000011537,4083,1,4084,221202,0.000693600000886363,118,1,119,611,0.0002505000011296943,11,1,12,182,3.000168799999301,293997,1,12,26727
13,9.59999997576233e-05,78,13,1,1,0.00010909999946306925,78,13,1,57,5.810000038763974e-05,36,9,1,12,8.009999874047935e-05,78,13,1,29,3.000038599999243,0,13,1,77471,0.007344600000578794,3396,6,670,708,0.09475120000024617,11340,7,2143,119232,0.0005870000004506437,283,5,69,519,0.00017309999930148479,58,4,10,142,3.000088999999207,373364,7,19,57865,0.008066800000960939,3141,6,783,841,0.10538040000028559,8495,7,2132,136405,0.0007392999996227445,357,4,90,663,0.0001750999999785563,39,4,10,137,3.0000819000015326,347757,7,15,48417,0.009480300001087016,2286,4,1091,1183,0.12144699999953446,9581,5,4701,157749,0.0009707000008347677,277,3,132,848,0.0002770000010059448,31,1,13,168,3.0000872000000527,346298,5,18,37869,0.010040699999080971,1644,2,1223,1322,0.16307100000085484,7852,3,5933,211165,0.0009444000006624265,190,3,143,894,0.0002435000005789334,17,2,12,180,3.0001309999988734,296502,3,13,27828,0.009888999999020598,1233,1,1234,1341,0.1549118000002636,6172,1,6173,203322,0.001067900000634836,183,1,184,1020,0.0002727999999478925,12,1,13,177,3.0002086000004056,277488,1,13,23124
